x,y
375.951,-374.322
379.463,-364.959
382.976,-355.596
386.488,-346.234
390.001,-336.871
393.513,-327.508
397.026,-318.145
400.538,-308.782
404.051,-299.419
407.564,-290.056
411.076,-280.694
414.589,-271.331
418.101,-261.968
421.614,-252.605
425.127,-243.242
428.639,-233.879
432.151,-224.516
435.664,-215.153
439.177,-205.791
442.689,-196.428
446.202,-187.065
449.715,-177.702
453.227,-168.339
456.739,-158.976
460.252,-149.613
463.765,-140.25
467.277,-130.887
470.79,-121.525
474.302,-112.162
477.815,-102.799
481.327,-93.4358
484.84,-84.0729
488.353,-74.71
491.865,-65.3471
495.378,-55.9842
498.89,-46.6213
502.402,-37.2595
505.915,-27.8966
509.428,-18.5336
512.941,-9.17072
516.453,0.192199
519.966,9.55512
523.478,18.918
526.991,28.281
530.503,37.6439
534.016,47.0068
537.528,56.3698
541.041,65.7327
544.554,75.0956
548.066,84.4586
551.579,93.8215
555.091,103.183
558.604,112.546
562.139,121.901
565.836,131.192
569.716,140.409
573.778,149.546
578.02,158.602
582.442,167.572
587.039,176.452
591.812,185.239
596.758,193.93
601.876,202.521
607.162,211.01
612.615,219.391
618.234,227.663
624.016,235.823
629.958,243.866
636.059,251.789
642.315,259.59
648.724,267.266
655.285,274.813
661.993,282.229
668.847,289.51
675.844,296.654
682.983,303.658
690.257,310.519
697.666,317.234
705.207,323.802
712.877,330.219
720.673,336.483
728.59,342.59
736.627,348.54
744.782,354.329
753.048,359.955
761.424,365.417
769.907,370.714
778.426,375.95
786.946,381.185
795.467,386.421
803.986,391.657
812.506,396.893
821.025,402.129
829.485,407.461
837.833,412.966
846.068,418.64
854.184,424.482
862.178,430.488
870.049,436.658
877.791,442.987
885.401,449.474
892.877,456.115
900.217,462.907
907.415,469.849
914.468,476.937
921.376,484.167
928.135,491.538
934.74,499.045
941.19,506.687
947.483,514.459
953.615,522.358
959.583,530.382
965.387,538.525
971.022,546.786
976.487,555.16
981.78,563.645
986.897,572.236
991.837,580.931
996.598,589.724
1001.18,598.614
1005.58,607.595
1009.79,616.665
1013.81,625.819
1017.65,635.053
1021.3,644.364
1024.75,653.748
1028.01,663.201
1031.08,672.719
1033.96,682.297
1036.63,691.932
1039.11,701.621
1041.39,711.357
1043.47,721.138
1045.34,730.961
1047.02,740.819
1048.5,750.709
1049.77,760.628
1050.84,770.571
1051.7,780.533
1052.36,790.511
1052.81,800.501
1053.06,810.498
1053.11,820.497
1052.95,830.496
1052.59,840.49
1052.02,850.473
1051.25,860.443
1050.27,870.395
1049.09,880.325
1047.7,890.229
1046.12,900.102
1044.33,909.941
1042.34,919.741
1040.15,929.497
1037.76,939.208
1035.17,948.867
1032.39,958.472
1029.41,968.017
1026.23,977.498
1022.86,986.914
1019.3,996.258
1015.55,1005.53
1011.6,1014.72
1007.48,1023.83
1003.16,1032.85
998.661,1041.78
993.981,1050.61
989.12,1059.35
984.082,1067.99
978.867,1076.52
973.479,1084.95
967.919,1093.26
962.19,1101.46
956.295,1109.53
950.235,1117.49
944.014,1125.32
937.633,1133.02
931.097,1140.58
924.407,1148.02
917.565,1155.31
910.576,1162.46
903.442,1169.47
896.165,1176.33
888.75,1183.04
881.199,1189.59
873.515,1195.99
865.701,1202.23
857.762,1208.31
849.7,1214.23
841.517,1219.98
833.22,1225.56
824.81,1230.97
816.289,1236.2
807.665,1241.26
798.938,1246.15
790.112,1250.85
781.193,1255.37
772.182,1259.71
763.085,1263.86
753.905,1267.82
744.645,1271.6
735.31,1275.18
725.903,1278.58
716.429,1281.78
706.892,1284.78
697.295,1287.59
687.642,1290.2
677.938,1292.62
668.186,1294.83
658.391,1296.84
648.557,1298.66
638.687,1300.27
628.787,1301.68
618.86,1302.88
608.911,1303.89
598.943,1304.68
588.961,1305.28
578.968,1305.67
568.97,1305.85
558.97,1305.83
548.972,1305.6
538.982,1305.17
529.003,1304.54
519.037,1303.7
509.092,1302.66
499.171,1301.41
489.276,1299.96
479.414,1298.31
469.587,1296.46
459.801,1294.4
450.059,1292.15
440.364,1289.69
430.722,1287.04
421.137,1284.19
411.611,1281.15
402.15,1277.91
392.758,1274.48
383.438,1270.85
374.194,1267.04
365.028,1263.04
355.889,1258.98
346.751,1254.92
337.612,1250.86
328.472,1246.8
319.333,1242.74
310.194,1238.68
301.055,1234.62
291.917,1230.57
282.778,1226.51
273.638,1222.45
264.499,1218.39
255.36,1214.33
246.222,1210.27
237.083,1206.21
227.943,1202.15
218.804,1198.09
209.666,1194.03
200.527,1189.97
191.387,1185.91
182.249,1181.85
173.11,1177.79
163.97,1173.73
154.832,1169.67
145.693,1165.61
136.553,1161.55
127.415,1157.49
118.276,1153.43
109.137,1149.37
99.9978,1145.31
90.8585,1141.25
81.72,1137.2
72.5806,1133.14
63.4421,1129.08
54.3027,1125.02
45.1642,1120.96
36.0247,1116.9
26.8862,1112.84
17.7468,1108.78
8.60819,1104.72
-0.525233,1100.65
-9.63371,1096.52
-18.7147,1092.33
-27.769,1088.09
-36.7957,1083.78
-45.7941,1079.42
-54.7641,1075
-63.7057,1070.52
-72.6181,1065.99
-81.5004,1061.39
-90.3534,1056.74
-99.1763,1052.04
-107.968,1047.27
-116.729,1042.45
-125.459,1037.57
-134.158,1032.64
-142.823,1027.65
-151.457,1022.6
-160.058,1017.5
-168.625,1012.34
-177.169,1007.15
-185.713,1001.95
-194.257,996.754
-202.801,991.557
-211.344,986.361
-219.887,981.164
-228.432,975.967
-236.975,970.77
-245.519,965.573
-254.062,960.377
-262.607,955.18
-271.15,949.983
-279.694,944.786
-288.237,939.59
-296.781,934.393
-305.324,929.196
-313.869,923.999
-322.412,918.803
-330.956,913.606
-339.5,908.409
-348.043,903.213
-356.587,898.016
-365.13,892.819
-373.674,887.623
-382.218,882.426
-390.761,877.229
-399.305,872.032
-407.849,866.835
-416.392,861.638
-424.936,856.442
-433.48,851.245
-442.024,846.049
-450.567,840.852
-459.111,835.654
-467.654,830.458
-476.198,825.261
-484.742,820.065
-493.286,814.868
-501.829,809.671
-510.373,804.474
-518.916,799.278
-527.46,794.081
-536.004,788.884
-544.548,783.687
-553.091,778.491
-561.635,773.294
-570.179,768.097
-578.701,762.866
-587.171,757.549
-595.589,752.151
-603.951,746.668
-612.259,741.102
-620.512,735.454
-628.707,729.724
-636.846,723.913
-644.926,718.022
-652.947,712.05
-660.909,706
-668.81,699.87
-676.649,693.662
-684.427,687.377
-692.142,681.015
-699.794,674.576
-707.38,668.06
-714.902,661.471
-722.358,654.808
-729.747,648.069
-737.069,641.259
-744.323,634.376
-751.508,627.42
-758.624,620.394
-765.67,613.298
-772.644,606.132
-779.547,598.897
-786.379,591.593
-793.136,584.222
-799.821,576.785
-806.431,569.28
-812.966,561.712
-819.426,554.078
-825.809,546.38
-832.116,538.62
-838.345,530.797
-844.497,522.913
-850.569,514.969
-856.563,506.963
-862.476,498.899
-868.31,490.777
-874.061,482.597
-879.732,474.36
-885.32,466.067
-890.826,457.72
-896.249,449.317
-901.587,440.862
-906.842,432.354
-912.012,423.793
-917.096,415.183
-922.094,406.522
-927.006,397.811
-931.831,389.052
-936.57,380.246
-941.22,371.393
-945.783,362.494
-950.256,353.551
-954.64,344.564
-958.935,335.532
-963.14,326.46
-967.254,317.345
-971.278,308.191
-975.211,298.996
-979.052,289.764
-982.801,280.493
-986.458,271.186
-990.022,261.843
-993.493,252.464
-996.871,243.052
-1000.15,233.606
-1003.35,224.13
-1006.44,214.621
-1009.44,205.082
-1012.35,195.513
-1015.16,185.916
-1017.87,176.292
-1020.49,166.641
-1023.02,156.965
-1025.45,147.264
-1027.78,137.539
-1030.01,127.793
-1032.15,118.023
-1034.19,108.233
-1036.13,98.4242
-1037.97,88.5955
-1039.72,78.75
-1041.37,68.8869
-1042.92,59.007
-1044.37,49.1138
-1045.73,39.2062
-1046.98,29.2852
-1048.14,19.352
-1049.2,9.40881
-1050.16,-0.545512
-1051.02,-10.5076
-1051.78,-20.4786
-1052.45,-30.4574
-1053.01,-40.4417
-1053.47,-50.4305
-1053.84,-60.4238
-1054.1,-70.4204
-1054.27,-80.4192
-1054.34,-90.4181
-1054.3,-100.418
-1054.17,-110.418
-1053.94,-120.415
-1053.61,-130.409
-1053.18,-140.4
-1052.65,-150.386
-1052.02,-160.366
-1051.3,-170.339
-1050.47,-180.305
-1049.54,-190.263
-1048.52,-200.21
-1047.39,-210.147
-1046.17,-220.071
-1044.85,-229.984
-1043.43,-239.883
-1041.92,-249.767
-1040.3,-259.636
-1038.59,-269.488
-1036.78,-279.322
-1034.87,-289.139
-1032.86,-298.935
-1030.76,-308.712
-1028.56,-318.466
-1026.26,-328.198
-1023.87,-337.908
-1021.38,-347.593
-1018.79,-357.252
-1016.11,-366.886
-1013.33,-376.492
-1010.46,-386.071
-1007.49,-395.62
-1004.42,-405.139
-1001.27,-414.627
-998.014,-424.084
-994.669,-433.508
-991.23,-442.898
-987.698,-452.253
-984.073,-461.573
-980.356,-470.856
-978.557,-475.256
-974.75,-484.503
-970.942,-493.749
-967.135,-502.997
-963.328,-512.244
-959.521,-521.49
-955.714,-530.738
-951.907,-539.984
-948.099,-549.231
-944.292,-558.479
-940.485,-567.725
-936.678,-576.972
-932.871,-586.219
-929.064,-595.466
-925.257,-604.714
-921.45,-613.96
-917.643,-623.207
-913.835,-632.454
-910.028,-641.701
-906.221,-650.948
-902.414,-660.195
-898.607,-669.442
-894.8,-678.688
-890.992,-687.936
-887.185,-697.183
-883.378,-706.43
-879.571,-715.677
-875.764,-724.923
-871.956,-734.171
-868.15,-743.417
-864.343,-752.665
-860.535,-761.912
-856.728,-771.158
-852.921,-780.406
-849.114,-789.652
-845.307,-798.899
-841.5,-808.146
-837.692,-817.393
-833.885,-826.641
-830.079,-835.887
-826.271,-845.134
-822.464,-854.381
-818.657,-863.628
-814.85,-872.875
-811.043,-882.122
-807.235,-891.369
-803.429,-900.616
-799.621,-909.862
-795.815,-919.11
-792.007,-928.356
-788.2,-937.604
-784.393,-946.851
-780.586,-956.098
-776.778,-965.345
-772.972,-974.591
-769.164,-983.839
-765.358,-993.085
-761.548,-1002.33
-757.617,-1011.53
-753.499,-1020.64
-749.195,-1029.66
-744.707,-1038.6
-740.037,-1047.44
-735.186,-1056.19
-730.158,-1064.83
-724.954,-1073.37
-719.575,-1081.8
-714.026,-1090.12
-708.306,-1098.32
-702.421,-1106.41
-696.37,-1114.37
-690.159,-1122.2
-683.787,-1129.91
-677.259,-1137.49
-670.578,-1144.93
-663.745,-1152.23
-656.764,-1159.39
-649.638,-1166.4
-642.37,-1173.27
-634.962,-1179.99
-627.419,-1186.55
-619.743,-1192.96
-611.936,-1199.21
-604.004,-1205.3
-595.949,-1211.23
-587.774,-1216.99
-579.483,-1222.58
-571.079,-1228
-562.565,-1233.24
-553.946,-1238.31
-545.225,-1243.2
-536.405,-1247.92
-527.491,-1252.45
-518.486,-1256.8
-509.394,-1260.96
-500.218,-1264.94
-490.963,-1268.72
-481.632,-1272.32
-472.229,-1275.72
-462.759,-1278.93
-453.225,-1281.95
-443.631,-1284.77
-433.982,-1287.39
-424.28,-1289.82
-414.531,-1292.04
-404.738,-1294.07
-394.907,-1295.89
-385.039,-1297.52
-375.141,-1298.94
-365.216,-1300.16
-355.267,-1301.17
-345.3,-1301.98
-335.319,-1302.58
-325.327,-1302.98
-315.328,-1303.18
-305.329,-1303.17
-295.331,-1302.96
-285.34,-1302.54
-275.359,-1301.92
-265.394,-1301.09
-255.447,-1300.06
-245.524,-1298.82
-235.628,-1297.39
-225.763,-1295.74
-215.935,-1293.9
-206.146,-1291.86
-196.401,-1289.62
-186.704,-1287.17
-177.059,-1284.53
-167.47,-1281.7
-157.941,-1278.66
-148.476,-1275.44
-139.08,-1272.02
-129.755,-1268.4
-120.507,-1264.6
-111.338,-1260.61
-102.254,-1256.43
-93.2559,-1252.07
-84.3494,-1247.52
-75.5385,-1242.79
-66.8257,-1237.88
-58.2163,-1232.8
-49.7118,-1227.54
-41.3175,-1222.1
-33.036,-1216.5
-24.8707,-1210.72
-16.8258,-1204.78
-8.90412,-1198.68
-1.10893,-1192.42
6.55629,-1186
14.0881,-1179.42
21.483,-1172.69
28.7394,-1165.81
35.8529,-1158.78
42.8209,-1151.61
49.6408,-1144.29
56.3093,-1136.84
62.8237,-1129.25
69.1814,-1121.54
75.3799,-1113.69
81.4157,-1105.72
87.288,-1097.62
92.9924,-1089.41
98.5272,-1081.08
103.891,-1072.64
109.081,-1064.09
114.093,-1055.44
118.928,-1046.69
123.582,-1037.83
128.055,-1028.89
132.343,-1019.86
136.445,-1010.74
140.359,-1001.54
144.085,-992.256
147.633,-982.906
151.146,-973.543
154.659,-964.181
158.172,-954.818
161.684,-945.455
165.197,-936.092
168.709,-926.73
172.222,-917.367
175.734,-908.004
179.247,-898.641
182.759,-889.278
186.272,-879.915
189.785,-870.552
193.297,-861.189
196.81,-851.826
200.322,-842.464
203.835,-833.101
207.348,-823.738
210.86,-814.375
214.372,-805.013
217.885,-795.65
221.397,-786.287
224.91,-776.924
228.423,-767.562
231.935,-758.199
235.448,-748.836
